name	id	cuisine	ingredients	type_of_dish1	recipes
Himmel und erde	/m/09v60jx	German	Applesauce,Fried onion		
Uttapam	/m/09xysh	South Indian cuisine	Rice,Onion,Tomato,urad dal		
Abnabat	/m/07pl7h				
Frittula	/m/09gp0vm	Italian			
Rendang	/m/02hgbm	Padang food,Indonesian,Malaysian,Singaporean cuisine	Chili pepper,Beef,Coconut milk	Main course	
Koulourakia	/m/02pw6ts	Greek			
Faggot	/m/03dvq6	British Cuisine,Welsh cuisine			
Fish slice	/m/02vkskg	Cuisine of Hong Kong			
Gianchetti	/m/03ckv4m	Italian			
Gugelhupf	/m/02v55x	Hungarian,German,French			
Gin and tonic	/m/03dyz		Gin,Tonic water	Cocktail	
American Chinese cuisine	/m/0qxx				
Roti john	/m/0ff01m	Singaporean cuisine			
Taffy	/m/07kkl0				
Boston cream pie	/m/07kcws				
Rye bread	/m/07qmlj	Jewish cuisine		Bread	
Chhota haazri	/m/0dwgkv	Indian cuisine			
Cheonggukjang	/m/0d_tyn	Korean			
Burger King products	/m/02qptrj				
Whopper	/m/02qmkz				
Hanky-Panky cocktail	/m/02ttzl		Vodka,Limoncello,Champagne		
Kueh kochi	/m/0277xfc	Singaporean cuisine			
Roasted goose	/m/0272wmg	German,Cuisine of Hong Kong			
Chal	/m/02qg4dj	Turkish			
Bak kut teh	/m/04dkzb	Singaporean cuisine			
Velouté sauce	/m/04jv11	French	Roux		
Gavvalu	/m/0463zks	Indian cuisine			
Steak de Venaison	/m/03h4wrf	French			
Hokkien mee	/m/04dct7	Singaporean cuisine			
Pico de gallo	/m/0m1gt	Mexican			
Margarita	/m/016sb3		Lime Juice,Lemon juice,Tequila,Cointreau		
Tuna salad	/m/01n2x4		Tuna		
Brandy Alexander	/m/01v1ft		Cream,Cognac,Half and half,Creme de cacao		
Waffle	/m/01dwsz		Flour	Breakfast	
Toast	/m/017z0v				
Akashiyaki	/m/01g8bx	Japanese Cuisine			
Potato pancakes	/m/01ps3d	Jewish cuisine	Onion,Cooking oil,Egg,Potato		
Beef Bourguignon	/m/06y_pt	French			Braised Shortribs
Huevos rancheros	/m/06grhb	Mexican	Egg,Tortilla,Tomato	Breakfast	
Halo-halo	/m/06lgcb	Filipino	Coconut milk		
Pastirma	/m/04k291	Lebanese,Armenian			
Beurre noir	/m/04fklc	French			
Onion Johnny	/m/03y7x9	French			
Diots	/m/03gy109	French			
Blacks Leisure Group plc	/m/04f5b3b				
Bremer Klaben	/m/03g_r42	German			
Caquelon	/m/04jdf8q	French			
Fairy bread	/m/03mv3w	New Zealand cuisine			
Anna potatoes	/m/041m0n	French			
Chee cheong fun	/m/0bhd72	Singaporean cuisine			
Pandesal	/m/0cs7cc	Filipino			
Ciarduna	/m/0bt4ht	Italian			
Sugo all'amatriciana	/m/0bcc3z	Italian	Pancetta,Tomato,Chili pepper	Sauce	
Mince pie	/m/0cn1w	British Cuisine	Flour,Shortening,Mincemeat,Apple,Raisin	Pie,Dessert	
Kas	/m/06p2zm	Spanish Cuisine			
Fideo	/m/06b_y2	Italian,Mexican			
Latte macchiato	/m/07s41z	Italian			
Chapulines	/m/07spvn	Mexican			
Slinger	/m/08gwgv				
Oxtail soup	/m/02qwbhf	Korean,Chinese,British Cuisine,Indonesian	Oxtail	Soup,Stew	
Khao soi	/m/027mlyq	Thai			
Matagh	/m/02754c_	Armenian			
Muhammara	/m/02rj599	Turkish			
Giri choco	/m/02vy_6k	Japanese Cuisine			
Churchkhela	/m/027tly9	Turkish			
Yuvarlak	/m/026dx87	Turkish			
Nurungji	/m/0c2lmm	Korean			
Siri paya	/m/0f_8ck	Indian cuisine			
Pav bhaji	/m/071xbs	Indian cuisine			
Bisque	/m/06w9jt	Louisiana Creole cuisine,Cajun,French	Crab meat,Shrimp,Lobster,Crawfish tails	Soup	
Hyderabad Biryani	/m/074cvd	Indian cuisine			
Cafe Sua Da	/m/07fs28	Vietnamese			
Chiles en nogada	/m/08925z	Mexican			
Gyutan	/m/07zy_1	Japanese Cuisine			
Cactus Jack	/m/05n7z26		Blue Curacao,Orange juice,Pineapple Juice,Tequila,Lemon juice		
Flaki	/m/05ms8ky		Tripe		
Butajiru	/m/05r8py	Japanese Cuisine			
Dim sum	/m/0pmbh	Chinese			
Jingisukan	/m/043n0wp	Japanese Cuisine			
Upma	/m/03myzy				
Torani	/m/0411t3	Italian			
Haleem	/m/04bv5_	Indian cuisine			
Bánh đúc	/m/03cd1cx	Vietnamese			
Galbi	/m/048wpb				
Hoedeopbap	/m/02qvq8v	Korean			
Original Chicken Sandwich	/m/026kcj5				
Kaya toast	/m/026vhy3	Singaporean cuisine			
Kedgeree	/m/026_9m		Fish		
BLT sandwich	/m/0m06w				
Tramezzino	/m/09gp70t	Italian			
Oatcake	/m/04fxl7	Scottish cuisine			
Almogrote	/m/04mxbw7	Spanish Cuisine			
Hot toddy	/m/03h_pc				
Fragguno	/m/04ctj7q	Italian			
Cervelle de Veau	/m/03h4wqr	French			
Kiev cake	/m/07hlj2				
Pancit	/m/07x7yj	Filipino	Coconut milk		
Oreo	/m/01k18d			cookie	
Hot dog	/m/01b9xk	Barbecue		Sausage	
Jelly baby	/m/018_vr				
Natura water	/m/0520kpl	Italian			
Laddu	/m/05nmk4	Udupi cuisine			
Alphabet soup	/m/05v67nj		Alphabets		
Hot pot	/m/04y0_x	Chinese,Cuisine of Hong Kong			
French Connection	/m/05n1gc1		Amaretto,Cognac		
Schweinhaxen	/m/0g_f81	German			
Sayur Asem	/m/0g8wqj	Sundanese cuisine,Indonesian			
Monjayaki	/m/0f010_	Japanese Cuisine			
Frying	/m/0dxrf		Extra virgin olive oil		
Spargel	/m/0cs0ts	German			
Muthia	/m/0dj2x3	Indian cuisine			
Paella	/m/0ct59	Spanish Cuisine			
Arak	/m/02t1pr	Armenian,Lebanese,Indonesian			
Mughlai cuisine	/m/02z6r57	Indian cuisine			
Pegu	/m/02ptk12		Cointreau,Gin,Angostura bitters,Lime Juice		
Bulgogi	/m/02flbl	Korean	Pork,Chicken meat,Beef		
Crappit heid	/m/02726ws	Scottish cuisine	Cod	Seafood	
Wonton	/m/04g132	Cuisine of Hong Kong,Chinese		Dumpling	
Calimocho	/m/03yrc9	Spanish Cuisine	Soft drink,Red Wine		
Rice cereal	/m/047qlks				
Navarin	/m/04ggxs6	French			
Candy cigarette	/m/0815j2				
Dry-fried beef with hefen	/m/097ykl	Cuisine of Hong Kong			
Negimaki	/m/09dt82	Japanese Cuisine			
Green curry	/m/091qsl	Thai	Coconut milk		
Gogli	/m/09k5cnl				
Bredela	/m/09q6n_	French			
Bistro	/m/072qlz	French			
Altamura	/m/074fbj	Italian			
Liquorice root	/m/070nm4				
Strela candy	/m/07hjrl				
Hobakjuk	/m/04jjs6t				
BK Dinner Baskets	/m/03nn1_0				
Neapolitan cuisine	/m/03ydd_t	Italian			
Agujjim	/m/047c4vd	Korean			
Snickerdoodle	/m/03p4r6			cookie	
Kongnamul	/m/0dpbg_	Korean			
Ramos gin fizz	/m/0gn3qc		Cream,Lemon juice,Lime Juice,Soda water,Sugar,Orange Flower Water,Egg white,Gin		
Anzac biscuit	/m/0hp39	New Zealand cuisine			
Arroz con leche	/m/0dtn_8	Mexican			
Chikki	/m/0dck7t				
Goat roti	/m/0d33mm	Indian cuisine			
Buck's fizz	/m/05fmlt		Orange juice,Champagne		
Sauce gribiche	/m/04153j4	French			
Kornigou	/m/047vph	French			
Gachas	/m/043mfh5	Spanish Cuisine			
Bejgli	/m/04jb5kd	Hungarian			
Cacciatore	/m/08m24m	Italian			
Eggs Neptune	/m/047b428				
Som tam	/m/03j9fd				
Mizuame	/m/03t6zp	Japanese Cuisine			
Zippuli	/m/09g6_7k	Italian			
Jjigae	/m/09spl0	Korean			
Fabes con almejas	/m/09g7t_w	Spanish Cuisine			
Tapai	/m/0fszvh	Sundanese cuisine,Padang food,Filipino			
Carajillo	/m/03gqdpx	Spanish Cuisine			
Tom and Jerry	/m/03s3k9		Rum,Nutmeg,Brandy,Vanilla extract,Egg,Sugar		
Kvass	/m/04b8t	Armenian			
Moo goo gai pan	/m/09g7kg				
Pu pu platter	/m/091_dt				
Colombia	/m/0gzkpy		Vodka,Blue Curacao,Grenadine,Lemon juice,Orange juice		
Beyti kebab	/m/0gsjwf	Turkish			
Bagna Cauda	/m/083tx9	Italian			
Riso patate e cozze	/m/07yj3m4	Apulian	Rice,Tomato,Potato,Mussel,Onion	Main course	
Pan Dan	/m/03c3hht	Indian cuisine			
Menma	/m/03h5sfg	Japanese Cuisine			
Panna cotta	/m/03v_2q	Italian			
Sugar cake	/m/03hlqvr				
Jeongol	/m/03wcvc2	Korean			
Hummus	/m/0jzps	Lebanese,Arab cuisine,Jewish cuisine,Vegetarian,Armenian	Lemon juice,Table salt,Tahini,Olive oil,Garlic,Chickpea		
Yujacha	/m/03gq4z6	Korean			
Sliced sausage	/m/04131q	Scottish cuisine			
Gulab jamun	/m/03w204	Turkish			
Flaming onion volcano	/m/03mbxdc	Japanese Cuisine			
Rousong	/m/08y7gz	Cuisine of Hong Kong			
Salmiakki Koskenkorva	/m/02g40d				
Moosemilk	/m/027925q		Vanilla extract,Nutmeg,Brandy,Vanilla Ice Cream,Kahlúa,White Rum,Milk,Cream		
Sugoli	/m/02x4bdz	Italian			
Menemen	/m/02w9mlj	Turkish			
Atchara	/m/02rt_3v	Filipino			
Sidecar cocktail	/m/01qt6f		Cognac,Brandy,Lemon juice,Cointreau		
Mai Tai	/m/015b1y		Orgeat syrup,Lime Juice,White Rum,Dark Rum,Orange Curacao		
Tempura	/m/012xzr	Japanese Cuisine			
Khabees	/m/0264ww9				
Red bean soup	/m/0ggg7n	Singaporean cuisine			
Makowiec	/m/02r667l	Polish			
Tongba	/m/026p1b8	Nepalese cuisine		Drink	
B-52	/m/0279780		Kahlúa,Baileys Irish Cream,Grand Marnier	Shooter,Cocktail,Drink	
Streusel	/m/027ggvx	German			
Three Wise Men	/m/02pn780		Scotch whisky,Tennessee whiskey,Bourbon whiskey		
Monkfish	/m/02nnr7	Welsh cuisine			
Herbsaint Frappé	/m/05n995q		Syrup,Soda water,Herbsaint,Sugar		
Cobbler	/m/05n9bsh				
Hasenpfeffer	/m/05mdbv	German			
Merienda	/m/05b6sck	Spanish Cuisine			
Al dente	/m/04t8sg	Italian			
Peanut butter cookie	/m/0gxwm0			cookie	
Hoe	/m/06d4gr				
White coffee	/m/06rqrc	Lebanese			
Yatai	/m/0289vbh	Japanese Cuisine			
Fettuccine alfredo	/m/02cffd	Italian	Parmigiano Reggiano,Fettuccine,Butter	Pasta dish	Fettuccine Alfredo
Pempek	/m/02vkycy	Indonesian			
Flip	/m/027jgjd				
Corzetti	/m/02wz3t5	Italian			
Macaroon	/m/02tn68	Jewish cuisine,Turkish			
Panta bhat	/m/0269z0d	Indian cuisine			
Ravioli	/m/02wf2z	Italian		Dumpling	
Tomate Frito	/m/02vwbbb	Spanish Cuisine			
Le Snak	/m/070yl3	New Zealand cuisine			
Malai	/m/077hmg	Indian cuisine			
Tapa	/m/07bj2_	Filipino			
Trifle	/m/0gth6	British Cuisine	Fruit,Cream	Dessert	
Puliyogare	/m/0fs4v1	Indian cuisine			
Cowboy Beans	/m/0g2bbv				
Panzerotti	/m/0gvc3z	Apulian,Italian			
Jhunka	/m/0d0g5y	Indian cuisine			
Mole	/m/0dd13	Mexican			
Kuyteav	/m/061ptq	Cambodian			
Soujouk	/m/061rtf	Armenian			
Chi Chi	/m/05n6lws		Coconut cream,Vodka,Pineapple Juice		
Sake Screwdriver	/m/05n4wmr		Orange juice,Sake	Drink	
Fassoulada	/m/05m1gh	Greek			
Orange chicken	/m/04wg4d				Spicy Orange and Ginger Chicken
Toast Hawaii	/m/04whjh	German			
Green pea risotto	/m/05v6844		Pea		
Ladyfinger	/m/03vbhh	French			
Salisbury steak	/m/046b30	Japanese Cuisine			
Nameko	/m/0gwf3v	Japanese Cuisine			
Egg casserole	/m/05skx14		Boiled eggs	Casserole	
Ham and egg pie	/m/05v67qr		Ham		
Arroz a la cubana	/m/04nqvt	Spanish Cuisine			
Paratha	/m/06x6d7	Indian cuisine	Atta flour		
Andrajos	/m/08060mj	Spanish Cuisine			
Mussels au gratin	/m/07yj3p4	Apulian,Italian,Seafood		Entrée	
Shiokara	/m/06lh5j	Japanese Cuisine			
