name	id	beer_style	first_brewed	alcohol_content	original_gravity	final_gravity	ibu_scale	country	brewery_brand	color_srm	from_region	containers
Rogue Hazelnut Brown Nectar	/m/04dqf35			6.2					Rogue Brewing,Rogue Ales		United States of America	/m/04dr65v
Stichting Noordhollandse Alternatieve Bierbrouwers SNAB Pale Ale	/m/04dqf4q			6.3					Stichting Noordhollandse Alternatieve Bierbrouwers		Netherlands	/m/04dr484
Harviestoun Liberation Champion Ale	/m/04dqfxb			4.7					Harviestoun Brewery		United Kingdom	/m/04dqyrm
Delta Breweries Lion Lager	/m/04dqnh_			5.7					Delta Breweries		South Africa	/m/04dr357
Blencoe Brewing Co. Boys With Attitude	/m/04dqg5z			6.0					Blencoe Brewing Co.		United Kingdom	/m/04dqym_
Otter Bright	/m/04dqgpq			4.3					Otter		United Kingdom	/m/04dr2r_
Sinebrychoff Karhu III	/m/04dqhwv			4.6					Sinebrychoff		Finland	/m/04dr3mx
Bragdy Ceredigion Merddin (Merlin)	/m/04dqj9v			5.0					Bragdy Ceredigion		United Kingdom	/m/04dr09m
Henry Weinhard's Blackberry Wheat Ale	/m/04dqjby			5.3					Henry Weinhard's		United States of America	/m/04dqxw_
Coors Keystone Premium	/m/04dqnpx			4.8					Coors Brewing Company		United States of America	/m/04dr3w8
Aldara Tumsais	/m/04dqpl3			5.0					Aldaris		Latvia	/m/04dr1y_
Meantime Sainsbury's Taste the Difference Viennese Style Amber Lager	/m/04dqppm			5.0					Meantime Brewing		United Kingdom	/m/04dr0cm
Cerná Hora Tas	/m/04dqqnx			4.0					Cerná Hora		Czech Republic	/m/04dr1bc
Hampshire brewery Kings Ransom	/m/04dqrdj			4.8					Hampshire brewery		United Kingdom	/m/04dqxsw
Shepherd Neame Early Bird	/m/04dqrgh			4.5					Shepherd Neame		United Kingdom	/m/04dr073
Stiegl Pils	/m/04dqsd7			5.0					Stiegl		Austria	/m/04dr4_k
Liefmans Frambozenbier	/m/04dqt2b			4.5					Liefmans		Belgium	/m/04dr56b
Scheldebrouwerij Lamme Goedzak	/m/04dqv1v			6.5					Scheldebrouwerij		Netherlands	/m/04dqypc
Les Artisans Brasseurs Aldegonde Brune	/m/04dqv66			7.5					Les Artisans Brasseurs		Belgium	/m/04dr1cr
Hawkshead Red	/m/04dqv7r			4.6					Hawkshead		United Kingdom	
Reissdorf Kölsch	/m/04dqwr6			4.8					Reissdorf		Germany	/m/04dr03r
Old Kent Opener	/m/04dqk2f			4.2					Old Kent		United Kingdom	/m/04dr1dm
Carlton Draught	/m/04dqwsr			4.7					Carlton & United Beverages		Australia	/m/04dr4hj
Ayinger Brau-Weisse	/m/04dq9gc			5.1					Ayinger		Germany	/m/04dq_z3
Brakspear Light Ale	/m/04d2v6g											
Bateman's 'Yella' Belly Organic	/m/04dqk8b			4.2					Batemans Brewery		United Kingdom	/m/04dr656
Mt. Begbie Brewing Company Tall Timber Ale	/m/04dqkz6			5.0					Mt. Begbie Brewing Company		United Kingdom	/m/04dr4c4
San Miguel (Philippines) Red Horse Extra Strong	/m/04dqc83			7.0					San Miguel (Philippines)		Philippines	/m/04dr46d
Strubbe Dikke Mathile	/m/04dql_p			6.0					Strubbe		Belgium	/m/04dr1f3
Royal Oak Irish Coffee Stout	/m/0n1vlrb								The Royal Oak Brewery			
Olde Peninsula Rockin' Rasberry Wheat	/m/0n1xrcb			5.5					Olde Peninsula Brewpub			
New Holland 2005 Black Tulip	/m/0n1v7hl								New Holland Brewing Company			
Motor City Oktoberfest Beer	/m/0n4y4b_								Motor City Brewing Works			
Kuhnhenn Anneliese Amber Ale	/m/0n4y3rp								Kuhnhenn Brewing Company			
Stone IPA	/m/02hv3bb	American IPA							Stone Brewing Company			
Pilsner Urquell	/m/031n3s			4.4					Urquell		Czech Republic	/m/04drt79,/m/04dqyf7
New Holland De Zwaan ESB	/m/0n1v6yy								New Holland Brewing Company			
Royal Oak Abbey Normal	/m/0n1vlpg								The Royal Oak Brewery			
Saugatuck Indian Summer Session IPA	/m/0n1qwfq	India Pale Ale		3.1					Saugatuck Brewing Company			
Grizzly Peak Steelhead Red	/m/0n4xwkk								Grizzly Peak Brewing			
Round Barn Amber Ale	/m/0n1qyff								Round Barn			
Greene King 1799	/m/04dqf4y			6.2					Greene King Brewery		United Kingdom	/m/04dqzfh
Ash Vine Longleat	/m/04dqf99			4.5					Ash Vine		United Kingdom	/m/04dr5q6
Al Ahram Beverages Co. Stella Export	/m/04dqb72			5.2					Al Ahram Brewery		Egypt	/m/04dr6pg
Durham Brewery Hautwyssel	/m/04dqpmw			6.5					Durham Brewery		United Kingdom	/m/04dr4ln
Duchy Originals Organic Golden Ale	/m/04dqrdr			4.8					Duchy Originals Organic		United Kingdom	/m/04dr2vw
Meantime Strawberry	/m/04dqvq5			4.0					Meantime Brewing		United Kingdom	/m/04dr5wz
Traquair Jacobite Ale	/m/04dqgpy			8.0					Traquair		United Kingdom	/m/04dr1wm
Heller-Trum Aecht Schlenkerla Rauchbier Märzen	/m/04dqlkp			5.1					Heller-Trum		Germany	/m/04dqzcr
Banks and Taylor's Black Dragon Mild	/m/04dqh_3			4.3					Banks and Taylor's		United Kingdom	/m/04dr0p_
Lagunitas Dogtown Pale Ale	/m/04dqk2n	Pale ale		5.3					Lagunitas Brewing Company		United States of America	/m/04dr31c
Hövels Original Bitterbier	/m/04dqhb1			5.5					Hövels		Germany	/m/04dr4_p
Exmoor Beast Strong Ale	/m/04dqnnc			6.6					Exmoor Ales Ltd		United Kingdom	/m/04dr0vr
Wadworth & Co. Malt & Hops	/m/04dqlj4			4.5					Wadworth Brewery		United Kingdom	/m/04dr3qn
Brasserie Saint-Monon Ambrée	/m/04dqjzq			6.5					Brasserie Saint-Monon		Belgium	/m/04dr56g
Hampshire Brewery Pride of Romsey IPA	/m/04dqc9w			5.0					Hampshire Brewery		United Kingdom	/m/04dr54z
Museum Brewing Blair's New Labour	/m/04dqj4c			5.4					Museum Brewing		United Kingdom	/m/04dr2p7
de Smedt Affligem Patersvat	/m/04dql_x			7.0					de Smedt		Belgium	/m/04dqxgh
Carlton & United Breweries Sheaf Stout	/m/04dqjy5			5.7					Carlton & United Beverages		Australia	/m/04dr0mc
Green's Discovery	/m/04dq942			6.0					Green's		United Kingdom	/m/04dr6pb
Ridley's Bishop's Ale	/m/04dqszm			8.0					Ridley's brewery		United Kingdom	/m/04dqy53
Carls Porter	/m/04dqmly			7.8					Carlsberg		Denmark	/m/04dq_9_
Phillips Amnesia Double IPA	/m/04dqrc6	India Pale Ale		8.5					Phillips		Canada	/m/04dr1nr
Whitbread Best Bitter	/m/04dqqfg			3.3					Whitbread		United Kingdom	/m/04dr4dn
Baltika Premium Lager	/m/04dqvrq			5.6					Baltika Brewery		Russia	/m/04dr11m
Regent (Southbohemian Breweries plc) Black Regent	/m/04dqv7z			4.5					Regent (Southbohemian Breweries plc)		Czech Republic	/m/04dr4fn
Tyskie Książęce	/m/04gdkf7			5.7					Kompania Piwowarska		Poland,Tychy	/m/04gdkfy,/m/04gdkg3
